行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
三河市,三河市润峰科技有限公司年产3000台（套）智能家居控制器项目,贤人街北侧、李中路西侧,4.467909,工业用地,挂牌出让,50,专用设备制造业,3390,三河市润峰科技有限公司,1.2,2020年6月12日,2021年6月1日,2023年5月31日,
霸州市,年产60万吨彩涂板、40万吨镀锡板项目,东段乡牛百万村，胜芳东环路东侧、芳泽道北侧,0.569,工业用地,挂牌出让,50,金属制品业,315,河北兆建金属制品有限公司,1.2,2020年6月12日,2021年8月9日,2023年8月7日,
三河市,三河精工园厂房及生产服务配套设施三期项目,贤人街北侧、杜官屯路东侧,0.420484,工业用地,挂牌出让,45,专用设备制造业,310,三河市岩峰高新技术产业园有限公司,1.2,2020年6月12日,2021年6月1日,2023年5月31日,
三河市,三河精工园厂房及生产服务配套设施三期项目,幸福路东侧、贤人街北侧,0.458548,工业用地,挂牌出让,45,专用设备制造业,335,三河市岩峰高新技术产业园有限公司,1.2,2020年6月12日,2021年6月1日,2023年5月31日,
霸州市,年产60万吨彩涂板、40万吨镀锡板项目,东段乡牛百万村、辛章办事处辛王庄堡村、胜芳东环路东侧、芳泽道北侧,0.8926,工业用地,挂牌出让,50,金属制品业,421,河北兆建金属制品有限公司,1.2,2020年6月12日,2021年8月9日,2023年8月7日,
三河市,三河精工园厂房及生产服务配套设施三期项目,幸福路东侧、科萃街南侧,0.696109,工业用地,挂牌出让,45,专用设备制造业,505,三河市岩峰高新技术产业园有限公司,1.2,2020年6月12日,2021年6月1日,2023年5月31日,
安次区,廊坊博远实业有限公司博雷顿标准化厂房项目,安次经济开发区安大道南侧、安美路西侧,11.65377,工业用地,拍卖出让,50,汽车制造,8195,廊坊博远实业有限公司,1.000.00,2020年6月11日,2021年7月11日,2023年7月10日,
霸州市,年加工30万件电子组装件项目,煎茶铺镇西煎街，112国道北侧,0.819,工业用地,挂牌出让,30,金属制品业,351,霸州市傲震科技有限公司,1.2,2020年6月9日,2021年8月6日,2023年8月5日,
霸州市,宏港商业楼建设项目,城区办事处宋庄村、付庄村，朝阳路西侧,0.3358,旅馆用地,挂牌出让,40,住宿和餐饮业,1447,霸州市宏港商务服务中心,4,2020年6月9日,2021年8月6日,2023年8月5日,
广阳区,荣盛房地产发展股份有限公司,汇源道以北、建设路以西、六干渠以南,1.200117,城镇住宅用地,拍卖出让,70,房地产业,9530,荣盛房地产发展股份有限公司,1.301.80,2020年6月8日,2021年9月7日,2024年9月6日,
安次区,北京北辰地产集团有限公司,瑞雪道以南、富友道以西、富余道以东、富锦道以北,4.61658,城镇住宅用地,拍卖出让,70,房地产业,51900,北京北辰地产集团有限公司,1.302.00,2020年6月3日,2021年7月2日,2024年7月1日,
